ENTRY	ACCESSION	OCEAN	OCEAN	TISSUE	BIRD	SAMPLE	MN	MN	FE	FE	CU	CU	ZN	ZN	AS	AS	MO	MO	CD	CD	HG	HG	PB	PB
NO.	ID	BASIN	REGION	TYPE	SPECIES	YEAR	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL	CONCEN	RL
row_num	acession_id	basin	region	tissue_type	spp	year	Mn	Mn_rl	Fe	Fe_rl	Cu	Cu_rl	Zn	Zn_rl	As	As_rl	Mo	Mo_rl	Cd	Cd_rl	Hg	Hg_rl	Pb	Pb_rl
28	BUPE04212014Hi4f	North Pacific	Hawaiian Islands	feather	BUPE	2014	3	0.8	223.6	3.2	13.4	0.8	90.8	1.6	--	0.8	--	0.8	--	0.8	2.7	0.8	--	0.8
29	BUPE10312014Hi2f	North Pacific	Hawaiian Islands	feather	BUPE	2014	4.8	0.6	251.6	2.3	8.4	0.6	197.6	1.1	--	0.6	0.6	0.6	--	0.6	0.9	0.6	0.6	0.6
30	(multiple birds)	North Pacific	Hawaiian Islands	feather	LAAL	1897	3.2	0.4	100.9	1.6	8.4	0.4	179.7	0.8	7939.7	0.4	--	0.4	--	0.4	509.2	0.4	63.3	0.4
31	(multiple birds)	North Pacific	Hawaiian Islands	feather	LAAL	1923	0.5	0.5	26.5	2	3	0.5	57.2	1	6752.2	0.5	--	0.5	--	0.5	26.2	0.5	28.7	0.5
32	(multiple birds)	North Pacific	Hawaiian Islands	feather	LAAL	1986	0.8	0.4	64.1	1.7	5.1	0.4	84.8	0.8	299.3	0.4	--	0.4	--	0.4	10.9	0.4	7.3	0.4
33	(multiple birds)	North Pacific	Hawaiian Islands	feather	LAAL	1992	0.9	0.5	56.2	1.9	10.5	0.5	88.8	1	176.6	0.5	--	0.5	--	0.5	7.2	0.5	8.9	0.5
34	RFBO11072012Hi1f	North Pacific	Hawaiian Islands	feather	RFBO	2012	10.2	0.8	447.6	3.3	8.4	0.8	131.6	1.6	1.5	0.8	--	0.8	--	0.8	--	0.8	6.1	0.8
35	RFBO06162013Hi1f	North Pacific	Hawaiian Islands	feather	RFBO	2013	2.9	1.1	146.6	4.4	4.7	1.1	87.9	2.2	--	1.1	--	1.1	--	1.1	1.8	1.1	8.4	1.1
36	RFBO02232014Hi1f	North Pacific	Hawaiian Islands	feather	RFBO	2014	2.1	0.7	161.8	2.7	5.4	0.7	55.4	1.4	--	0.7	--	0.7	--	0.7	--	0.7	0.9	0.7
37	RFBO09232014Hi2f	North Pacific	Hawaiian Islands	feather	RFBO	2014	2.6	0.7	238.4	2.7	2.4	0.7	125.6	1.3	--	0.7	0.7	0.7	--	0.7	0.7	0.7	1	0.7
38	RFBO09292014Hi3f	North Pacific	Hawaiian Islands	feather	RFBO	2014	5.1	1	457.7	3.8	3.3	1	79.4	1.9	--	1	--	1	--	1	--	1	1.2	1
39	(multiple birds)	North Pacific	Hawaiian Islands	feather	SOTE	1896	1.5	0.6	35.2	2.5	9.3	0.6	114.2	1.2	6743	0.6	--	0.6	--	0.6	1396.3	0.6	59.2	0.6
40	(multiple birds)	North Pacific	Hawaiian Islands	feather	SOTE	1938	5.7	0.5	211.6	1.9	20.7	0.5	149	0.9	19764.2	0.5	--	0.5	0.6	0.5	55.4	0.5	233.4	0.5
41	(multiple birds)	North Pacific	Hawaiian Islands	feather	SOTE	1967	0.6	0.6	19.7	2.3	3.3	0.6	80.8	1.2	2446.3	0.6	--	0.6	--	0.6	22.8	0.6	6	0.6
42	(multiple birds)	North Pacific	Hawaiian Islands	feather	SOTE	1983	1	0.6	28.5	2.3	4.7	0.6	82.4	1.1	145.6	0.6	--	0.6	--	0.6	8.7	0.6	26	0.6
43	(multiple birds)	North Pacific	Hawaiian Islands	feather	SOTE	1997	1	0.5	45.9	2.2	3.5	0.5	102.4	1.1	129.6	0.5	--	0.5	--	0.5	2.3	0.5	5	0.5
44	SOTE04102013Hi1f	North Pacific	Hawaiian Islands	feather	SOTE	2013	5	2.9	395.4	11.6	4.7	2.9	107.3	5.8	--	2.9	--	2.9	--	2.9	--	2.9	--	2.9
45	SOTE12312013Hi2f	North Pacific	Hawaiian Islands	feather	SOTE	2013	3.3	1.7	376.8	6.8	4.3	1.7	82.9	3.4	--	1.7	2.2	1.7	--	1.7	--	1.7	--	1.7
46	SOTE07162014Hi1f	North Pacific	Hawaiian Islands	feather	SOTE	2014	2.1	0.5	191.2	2	8.6	0.5	130.1	1	--	0.5	--	0.5	--	0.5	--	0.5	--	0.5
47	SOTE05032015Hi2f	North Pacific	Hawaiian Islands	feather	SOTE	2015	1.7	0.6	171	2.2	6.7	0.6	72.5	1.1	--	0.6	--	0.6	--	0.6	--	0.6	--	0.6
48	(multiple birds)	North Pacific	Hawaiian Islands	feather	WHTE	1891	--	7.6	--	30.3	--	7.6	40.4	15.2	2391.5	7.6	--	7.6	--	7.6	952.5	7.6	36.9	7.6
49	(multiple birds)	North Pacific	Hawaiian Islands	feather	WHTE	1983	1.6	0.5	39.2	2.1	2.9	0.5	139.8	1	101.3	0.5	--	0.5	1.1	0.5	5.2	0.5	0.7	0.5
50	WHTE04152013Hi1f	North Pacific	Hawaiian Islands	feather	WHTE	2013	5.3	2.3	337.1	9.3	6.3	2.3	84.9	4.7	--	2.3	--	2.3	--	2.3	--	2.3	--	2.3
51	WHTE09022013Hi2f	North Pacific	Hawaiian Islands	feather	WHTE	2013	3	2.9	260.9	11.8	5	2.9	84.6	5.9	--	2.9	--	2.9	--	2.9	--	2.9	--	2.9
52	WHTE06062013Hi3f	North Pacific	Hawaiian Islands	feather	WHTE	2013	--	2.4	185.2	9.4	4.3	2.4	84	4.7	--	2.4	--	2.4	--	2.4	--	2.4	--	2.4
53	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTSH	1897	2.9	0.5	85	1.8	13.8	0.5	96	0.9	12578.4	0.5	--	0.5	--	0.5	90.5	0.5	24.1	0.5
54	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTSH	1915	1.3	0.5	67.4	2.1	4.1	0.5	68.6	1	11264.4	0.5	--	0.5	--	0.5	226.7	0.5	4.9	0.5
55	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTSH	1942	1.4	0.5	64.2	2.2	6.4	0.5	63.4	1.1	10446	0.5	--	0.5	--	0.5	156	0.5	1.5	0.5
56	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTSH	1964	3.8	0.5	189.2	2.1	5.6	0.5	96.9	1	10773.5	0.5	--	0.5	--	0.5	12.2	0.5	13	0.5
57	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTSH	1970	5.5	0.6	100.6	2.3	7.6	0.6	97.5	1.1	7562.6	0.6	--	0.6	--	0.6	16.1	0.6	1.7	0.6
58	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTSH	1999	5.2	0.6	71.9	2.4	6	0.6	91.4	1.2	137.9	0.6	--	0.6	--	0.6	2.8	0.6	2.9	0.6
59	WTSH07272014Hi4f	North Pacific	Hawaiian Islands	feather	WTSH	2014	4.1	1.6	147.1	6.5	3.9	1.6	93.1	3.3	--	1.6	--	1.6	--	1.6	--	1.6	0.6	1.6
60	WTSH04262014Hi5f	North Pacific	Hawaiian Islands	feather	WTSH	2014	5	2.2	243.5	8.7	4.6	2.2	118.4	4.4	--	2.2	--	2.2	--	2.2	--	2.2	2.4	2.2
61	WTSH07112014Hi6f	North Pacific	Hawaiian Islands	feather	WTSH	2014	6.6	2.3	147.6	9.3	4.4	2.3	67.6	4.6	--	2.3	--	2.3	--	2.3	--	2.3	--	2.3
62	WTSH11202014Hi7f	North Pacific	Hawaiian Islands	feather	WTSH	2014	8.1	2	208.6	8	4.1	2	133.3	4	2.8	2	--	2	--	2	--	2	--	2
63	WTSH12062014Hi8f	North Pacific	Hawaiian Islands	feather	WTSH	2014	5.4	1.9	215.3	7.4	3.5	1.9	139.8	3.7	--	1.9	--	1.9	--	1.9	--	1.9	--	1.9
64	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTTR	1892	0.8	0.6	35.7	2.4	6.1	0.6	60.9	1.2	1676.6	0.6	--	0.6	--	0.6	445.8	0.6	26	0.6
65	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTTR	1926	2.3	0.6	79.8	2.3	2.5	0.6	71.2	1.1	1948.7	0.6	--	0.6	--	0.6	116.4	0.6	17	0.6
66	(multiple birds)	North Pacific	Hawaiian Islands	feather	WTTR	1995	0.2	0.1	7	0.5	1.1	0.1	25.7	0.2	10.4	0.1	--	0.1	--	0.1	9.2	0.1	0.5	0.1
67	WTTR06032015Hi1f	North Pacific	Hawaiian Islands	feather	WTTR	2015	1.8	0.3	127.3	1.3	3.9	0.3	95	0.6	1.6	0.3	--	0.3	--	0.3	1	0.3	--	0.3
68	BLNO12032013AS1f	South Pacific	American Samoa	feather	BLNO	2013	1.2	1.3	21.3	5.2	8.5	1.3	66.3	2.6	4.7	1.3	--	1.3	3.1	1.3	--	1.3	--	1.3
69	BLNO12032013AS2f	South Pacific	American Samoa	feather	BLNO	2013	--	22.7	180.8	90.9	--	22.7	143.7	45.5	--	22.7	--	22.7	--	22.7	--	22.7	--	22.7
70	BLNO12032013AS3f	South Pacific	American Samoa	feather	BLNO	2013	--	5.6	66.2	22.2	--	5.6	56.7	11.1	--	5.6	--	5.6	--	5.6	--	5.6	--	5.6
71	BLNO12032013AS4f	South Pacific	American Samoa	feather	BLNO	2013	--	13.9	136.7	55.6	11.4	13.9	143.3	27.8	--	13.9	--	13.9	--	13.9	--	13.9	--	13.9
72	BLNO12032013AS5f	South Pacific	American Samoa	feather	BLNO	2013	--	2.5	161.2	10	6.5	2.5	186.5	5	3.5	2.5	--	2.5	--	2.5	--	2.5	--	2.5
73	BRNO12032013AS1f	South Pacific	American Samoa	feather	BRNO	2013	--	4.9	130.7	19.6	--	4.9	97	9.8	--	4.9	--	4.9	--	4.9	--	4.9	--	4.9
74	BRNO12032013AS2f	South Pacific	American Samoa	feather	BRNO	2013	--	4.5	98.9	18	9.1	4.5	101.2	9	--	4.5	--	4.5	--	4.5	--	4.5	--	4.5
75	BRNO12032013AS3f	South Pacific	American Samoa	feather	BRNO	2013	--	2.3	36.4	9.1	5.7	2.3	65.4	4.6	--	2.3	--	2.3	--	2.3	--	2.3	--	2.3
76	BRNO12032013AS4f	South Pacific	American Samoa	feather	BRNO	2013	--	7.4	63.1	29.4	--	7.4	64.5	14.7	--	7.4	--	7.4	--	7.4	--	7.4	--	7.4
77	RFBO12032013AS1f	South Pacific	American Samoa	feather	RFBO	2013	--	1.9	37	7.7	3.6	1.9	43.7	3.8	--	1.9	--	1.9	--	1.9	--	1.9	--	1.9
78	RFBO12032013AS2f	South Pacific	American Samoa	feather	RFBO	2013	--	9.1	65	36.4	4.7	9.1	40.2	18.2	--	9.1	--	9.1	--	9.1	--	9.1	--	9.1
79	RFBO12032013AS3f	South Pacific	American Samoa	feather	RFBO	2013	--	1.5	18.2	6	2.9	1.5	45.3	3	--	1.5	--	1.5	--	1.5	--	1.5	--	1.5
80	BRNO05282014FL1f	Northwest Atlantic	Florida	feather	BRNO	2014	--	10.9	142.7	43.5	8.6	10.9	118.8	21.7	--	10.9	--	10.9	--	10.9	--	10.9	1.3	10.9
81	BRNO05282014FL2f	Northwest Atlantic	Florida	feather	BRNO	2014	--	2.8	82.8	11.1	4.9	2.8	106.3	5.5	--	2.8	3.3	2.8	--	2.8	--	2.8	0.7	2.8
82	SOTE05282014FL12f	Northwest Atlantic	Florida	feather	SOTE	2014	1.6	1.5	78.6	5.8	7.7	1.5	59.6	2.9	1.8	1.5	--	1.5	--	1.5	--	1.5	0.6	1.5
83	SOTE05282014FL13f	Northwest Atlantic	Florida	feather	SOTE	2014	--	3.2	45.1	12.9	4.1	3.2	34.8	6.5	--	3.2	--	3.2	--	3.2	--	3.2	0.4	3.2
84	SOTE05282014FL14f	Northwest Atlantic	Florida	feather	SOTE	2014	--	2.8	58.1	11.2	6.3	2.8	44	5.6	--	2.8	3.2	2.8	--	2.8	--	2.8	0.5	2.8
85	SOTE05282014FL15f	Northwest Atlantic	Florida	feather	SOTE	2014	--	1.4	34.3	5.6	3.7	1.4	40.9	2.8	--	1.4	--	1.4	--	1.4	--	1.4	0.4	1.4
86	SOTE05282014FL16f	Northwest Atlantic	Florida	feather	SOTE	2014	--	1.6	33	6.4	4	1.6	41.5	3.2	1.6	1.6	--	1.6	--	1.6	--	1.6	0.3	1.6
87	SOTE05282014FL3	Northwest Atlantic	Florida	feather	SOTE	2014	8.5	0.5	99	5.3	13	1.6	180	1.6	9.7	5.3	--	2.1	2.4	1.6	--	5.3	--	5.3
88	SOTE05282014FL4	Northwest Atlantic	Florida	feather	SOTE	2014	9.9	0.2	150	2	9.8	0.6	280	0.6	8.2	2	--	0.8	1.1	0.6	--	2	--	2
89	SOTE05282014FL6	Northwest Atlantic	Florida	feather	SOTE	2014	6.6	0.2	110	2	8.4	0.6	160	0.6	13	2	--	0.8	0.6	0.6	--	2	--	2
90	SOTE05282014FL7	Northwest Atlantic	Florida	feather	SOTE	2014	12	0.2	110	2	6.7	0.6	110	0.6	12	2	--	0.8	--	0.6	--	2	--	2
91	SOTE05282014FL8	Northwest Atlantic	Florida	feather	SOTE	2014	7.5	0.2	92	2	10	0.6	160	0.6	13	2	--	0.8	1.6	0.6	--	2	--	2
92	SOTE05282014FL9	Northwest Atlantic	Florida	feather	SOTE	2014	7.1	0.2	76	2	3.5	0.6	59	0.6	8.7	2	--	0.8	--	0.6	--	2	--	2
93	SOTE05282014FL10	Northwest Atlantic	Florida	feather	SOTE	2014	8.4	0.2	93	2	12	0.6	160	0.6	11	2	--	0.8	2.6	0.6	--	2	--	2
94	SOTE05282014FL11	Northwest Atlantic	Florida	feather	SOTE	2014	8.4	0.2	89	2	9.4	0.6	130	0.6	13	2	--	0.8	1.6	0.6	--	2	--	2
95	SOTE12052015ROSE1	South Pacific	American Samoa	feather	SOTE	2015	1.5	1	240	160	4.6	3	160	48	4.2	4	3.4	2	--	3	9.2	5	--	160
96	BLN012022015ROSE1	South Pacific	American Samoa	feather	BLNO	2015	3.6	3.1	220	63	6.7	3	180	19	5.1	5	3	2	2.3	1.5	--	63	--	63
97	BRNO12022015ROSE1	South Pacific	American Samoa	feather	BRNO	2015	--	4.9	130	49	2.8	2.4	120	15	--	49	--	19	--	15	--	49	--	49
98	BRNO12022015ROSE2	South Pacific	American Samoa	feather	BRNO	2015	--	2.9	130	29	3.6	3	130	8.6	--	29	--	11	--	8.6	--	29	--	29
