"tp_med","ttc","metal"
1.47,1.89378460566191,"Zinc"
1.48,1.89466351172215,"Zinc"
1.49,1.8954727481135,"Zinc"
1.5,1.89621273350271,"Zinc"
1.51,1.89688388655654,"Zinc"
1.52,1.89748662594174,"Zinc"
1.53,1.89802137032509,"Zinc"
1.54,1.89848853837333,"Zinc"
1.55,1.89888854875323,"Zinc"
1.56,1.89922182013155,"Zinc"
1.57,1.89948877117504,"Zinc"
1.58,1.89968982055046,"Zinc"
1.59,1.89982538692458,"Zinc"
1.6,1.89989588896416,"Zinc"
1.61,1.89990174533595,"Zinc"
1.62,1.8998433747067,"Zinc"
1.63,1.8997211957432,"Zinc"
1.64,1.89953562711218,"Zinc"
1.65,1.89928708748041,"Zinc"
1.66,1.89897599551466,"Zinc"
1.67,1.89860276988167,"Zinc"
1.68,1.89816782924821,"Zinc"
1.69,1.89767159228104,"Zinc"
1.7,1.89711447764692,"Zinc"
1.71,1.8964969040126,"Zinc"
1.72,1.89581929004485,"Zinc"
1.73,1.89508205441042,"Zinc"
1.74,1.89428561577608,"Zinc"
1.75,1.89343039280859,"Zinc"
1.76,1.8925168041747,"Zinc"
1.77,1.89154526854117,"Zinc"
1.78,1.89051620457476,"Zinc"
1.79,1.88943003094224,"Zinc"
1.8,1.88828716631035,"Zinc"
1.81,1.88708802934587,"Zinc"
1.82,1.88583303871554,"Zinc"
1.83,1.88452261308614,"Zinc"
1.84,1.88315717112441,"Zinc"
1.85,1.88173713149712,"Zinc"
1.86,1.88026291287103,"Zinc"
1.87,1.8787349339129,"Zinc"
1.88,1.87715361328948,"Zinc"
1.89,1.87551936966754,"Zinc"
1.9,1.87383262171383,"Zinc"
1.91,1.87209378809511,"Zinc"
1.92,1.87030328747815,"Zinc"
1.93,1.86846153852971,"Zinc"
1.94,1.86656895991653,"Zinc"
1.95,1.86462597030539,"Zinc"
1.96,1.86263298836303,"Zinc"
1.97,1.86059043275623,"Zinc"
1.98,1.85849872215174,"Zinc"
1.99,1.85635827521631,"Zinc"
2,1.85416951061672,"Zinc"
2.01,1.85193283937647,"Zinc"
2.02,1.84964864194618,"Zinc"
2.03,1.84731729113318,"Zinc"
2.04,1.84493915974485,"Zinc"
2.05,1.84251462058853,"Zinc"
2.06,1.84004404647158,"Zinc"
2.07,1.83752781020137,"Zinc"
2.08,1.83496628458525,"Zinc"
2.09,1.83235984243057,"Zinc"
2.1,1.8297088565447,"Zinc"
2.11,1.82701369973498,"Zinc"
2.12,1.82427474480879,"Zinc"
2.13,1.82149236457347,"Zinc"
2.14,1.81866693183638,"Zinc"
2.15,1.81579881940488,"Zinc"
2.16,1.81288840008633,"Zinc"
2.17,1.80993604668808,"Zinc"
2.18,1.8069421320175,"Zinc"
2.19,1.80390702888193,"Zinc"
2.2,1.80083111008874,"Zinc"
2.21,1.79771474844529,"Zinc"
2.22,1.79455831675892,"Zinc"
2.23,1.79136218783701,"Zinc"
2.24,1.7881267344869,"Zinc"
2.25,1.78485232951595,"Zinc"
2.26,1.78153934573152,"Zinc"
2.27,1.77818815594097,"Zinc"
2.28,1.77479913295165,"Zinc"
2.29,1.77137264957093,"Zinc"
2.3,1.76790907860615,"Zinc"
2.31,1.76440879286468,"Zinc"
2.32,1.76087216515388,"Zinc"
2.33,1.75729956828109,"Zinc"
2.34,1.75369137505369,"Zinc"
2.35,1.75004795827902,"Zinc"
2.36,1.74636969076444,"Zinc"
2.37,1.74265694531731,"Zinc"
2.38,1.738910094745,"Zinc"
2.39,1.73512951185484,"Zinc"
2.4,1.73131556945421,"Zinc"
2.41,1.72746864035046,"Zinc"
2.42,1.72358909735094,"Zinc"
2.43,1.71967731326302,"Zinc"
2.44,1.71573366089405,"Zinc"
2.45,1.71175851305139,"Zinc"
2.46,1.70775224254239,"Zinc"
2.47,1.70371522217442,"Zinc"
2.48,1.69964782475483,"Zinc"
2.49,1.69555042309097,"Zinc"
2.5,1.69142338999021,"Zinc"
2.51,1.6872670982599,"Zinc"
2.52,1.68308192070741,"Zinc"
2.53,1.67886823014008,"Zinc"
2.54,1.67462639936527,"Zinc"
2.55,1.67035680119035,"Zinc"
2.56,1.66605980842266,"Zinc"
2.57,1.66173579386957,"Zinc"
2.58,1.65738513033843,"Zinc"
2.59,1.65300819063661,"Zinc"
2.6,1.64860534757145,"Zinc"
2.61,1.64417697395032,"Zinc"
2.62,1.63972344258057,"Zinc"
2.63,1.63524512626956,"Zinc"
2.64,1.63074239782464,"Zinc"
2.65,1.62621563005319,"Zinc"
2.66,1.62166519576254,"Zinc"
2.67,1.61709146776006,"Zinc"
2.68,1.61249481885311,"Zinc"
2.69,1.60787562184904,"Zinc"
2.7,1.60323424955522,"Zinc"
2.71,1.59857107477899,"Zinc"
2.72,1.59388647032772,"Zinc"
2.73,1.58918080900876,"Zinc"
2.74,1.58445446362947,"Zinc"
2.75,1.5797078069972,"Zinc"
2.76,1.57494121191932,"Zinc"
2.77,1.57015505120319,"Zinc"
2.78,1.56534969765615,"Zinc"
2.79,1.56052552408557,"Zinc"
2.8,1.55568290329881,"Zinc"
2.81,1.55082220810321,"Zinc"
2.82,1.54594381130614,"Zinc"
2.83,1.54104808571496,"Zinc"
2.84,1.53613540413702,"Zinc"
2.85,1.53120613937969,"Zinc"
2.86,1.52626066425031,"Zinc"
2.87,1.52129935155624,"Zinc"
2.88,1.51632257410485,"Zinc"
2.89,1.51133070470348,"Zinc"
2.9,1.50632411615951,"Zinc"
2.91,1.50130318128027,"Zinc"
2.92,1.49626827287314,"Zinc"
2.93,1.49121976374547,"Zinc"
2.94,1.48615802670461,"Zinc"
2.95,1.48108343455793,"Zinc"
2.96,1.47599636011278,"Zinc"
2.97,1.47089717617651,"Zinc"
2.98,1.46578625555649,"Zinc"
2.99,1.46066397106007,"Zinc"
3,1.45553069549462,"Zinc"
3.01,1.45038680111338,"Zinc"
3.02,1.44523265795323,"Zinc"
3.03,1.44006863549693,"Zinc"
3.04,1.43489510322727,"Zinc"
3.05,1.42971243062701,"Zinc"
3.06,1.42452098717892,"Zinc"
3.07,1.41932114236578,"Zinc"
3.08,1.41411326567034,"Zinc"
3.09,1.4088977265754,"Zinc"
3.1,1.40367489456371,"Zinc"
3.11,1.39844513911804,"Zinc"
3.12,1.39320882972118,"Zinc"
3.13,1.38796633585588,"Zinc"
3.14,1.38271802700492,"Zinc"
3.15,1.37746427265107,"Zinc"
3.16,1.37220544227711,"Zinc"
3.17,1.3669419053658,"Zinc"
3.18,1.36167403139991,"Zinc"
3.19,1.35640218986222,"Zinc"
3.2,1.35112675023549,"Zinc"
3.21,1.3458480820025,"Zinc"
3.22,1.34056655464602,"Zinc"
3.23,1.33528253764882,"Zinc"
3.24,1.32999640049367,"Zinc"
3.25,1.32470851266334,"Zinc"
3.26,1.3194192436406,"Zinc"
3.27,1.31412896290822,"Zinc"
3.28,1.30883803994898,"Zinc"
3.29,1.30354684424564,"Zinc"
3.3,1.29825574528098,"Zinc"
3.31,1.29296508289307,"Zinc"
3.32,1.28767507834123,"Zinc"
3.33,1.28238592324009,"Zinc"
3.34,1.27709780920426,"Zinc"
3.35,1.27181092784836,"Zinc"
3.36,1.26652547078702,"Zinc"
3.37,1.26124162963486,"Zinc"
3.38,1.2559595960065,"Zinc"
3.39,1.25067956151657,"Zinc"
3.4,1.24540171777968,"Zinc"
3.41,1.24012629558864,"Zinc"
3.42,1.23485368244899,"Zinc"
3.43,1.22958430504445,"Zinc"
3.44,1.22431859005873,"Zinc"
3.45,1.21905696417556,"Zinc"
3.46,1.21379985407865,"Zinc"
3.47,1.20854768645172,"Zinc"
3.48,1.20330088797849,"Zinc"
3.49,1.19805988534268,"Zinc"
3.5,1.19282510522801,"Zinc"
3.51,1.18759692185006,"Zinc"
3.52,1.18237549955184,"Zinc"
3.53,1.17716095020822,"Zinc"
3.54,1.17195338569407,"Zinc"
3.55,1.16675291788427,"Zinc"
3.56,1.16155965865369,"Zinc"
3.57,1.1563737198772,"Zinc"
3.58,1.15119521342967,"Zinc"
3.59,1.14602425118598,"Zinc"
3.6,1.14086094502099,"Zinc"
3.61,1.13570540680959,"Zinc"
3.62,1.13055774842664,"Zinc"
3.63,1.12541808174701,"Zinc"
3.64,1.12028651864558,"Zinc"
3.65,1.11516317099721,"Zinc"
3.66,1.11004815067679,"Zinc"
3.67,1.10494156955918,"Zinc"
3.68,1.09984353951925,"Zinc"
3.69,1.09475417243188,"Zinc"
3.7,1.08967358017194,"Zinc"
3.71,1.0846018746143,"Zinc"
3.72,1.07953916763384,"Zinc"
3.73,1.07448557110542,"Zinc"
3.74,1.06944119690392,"Zinc"
3.75,1.06440615690421,"Zinc"
