acession_id,region,tissue,spp,year,period,batch_no,vial_no,Mn,Mn_rl,Fe,Fe_rl,Cu,Cu_rl,Zn,Zn_rl,As,As_rl,Mo,Mo_rl,Cd,Cd_rl,Hg,Hg_rl,Pb,Pb_rl
(multiple birds),Hawaiian Isl.,feather,LAAL,1923,2,2,2,0.5,0.5,26.5,2,3,0.5,57.2,1,6752.2,0.5,--,0.5,--,0.5,26.2,0.5,28.7,0.5
(multiple birds),Hawaiian Isl.,feather,LAAL,1986,3,2,3,0.8,0.4,64.1,1.7,5.1,0.4,84.8,0.8,299.3,0.4,--,0.4,--,0.4,10.9,0.4,7.3,0.4
(multiple birds),Hawaiian Isl.,feather,LAAL,1992,3,2,4,0.9,0.5,56.2,1.9,10.5,0.5,88.8,1,176.6,0.5,--,0.5,--,0.5,7.2,0.5,8.9,0.5
RFBO11072012Hi1f,Hawaiian Isl.,feather,RFBO,2012,4,1,60,10.2,0.8,447.6,3.3,8.4,0.8,131.6,1.6,1.5,0.8,--,0.8,--,0.8,--,0.8,6.1,0.8
RFBO06162013Hi1f,Hawaiian Isl.,feather,RFBO,2013,4,1,62,2.9,1.1,146.6,4.4,4.7,1.1,87.9,2.2,--,1.1,--,1.1,--,1.1,1.8,1.1,8.4,1.1
RFBO02232014Hi1f,Hawaiian Isl.,feather,RFBO,2014,4,1,35,2.1,0.7,161.8,2.7,5.4,0.7,55.4,1.4,--,0.7,--,0.7,--,0.7,--,0.7,0.9,0.7
RFBO09232014Hi2f,Hawaiian Isl.,feather,RFBO,2014,4,1,44,2.6,0.7,238.4,2.7,2.4,0.7,125.6,1.3,--,0.7,0.7,0.7,--,0.7,0.7,0.7,1,0.7
RFBO09292014Hi3f,Hawaiian Isl.,feather,RFBO,2014,4,1,46,5.1,1,457.7,3.8,3.3,1,79.4,1.9,--,1,--,1,--,1,--,1,1.2,1
(multiple birds),Hawaiian Isl.,feather,SOTE,1896,1,2,18,1.5,0.6,35.2,2.5,9.3,0.6,114.2,1.2,6743,0.6,--,0.6,--,0.6,1396.3,0.6,59.2,0.6
(multiple birds),Hawaiian Isl.,feather,SOTE,1938,2,2,19,5.7,0.5,211.6,1.9,20.7,0.5,149,0.9,19764.2,0.5,--,0.5,0.6,0.5,55.4,0.5,233.4,0.5
(multiple birds),Hawaiian Isl.,feather,SOTE,1967,3,2,20,0.6,0.6,19.7,2.3,3.3,0.6,80.8,1.2,2446.3,0.6,--,0.6,--,0.6,22.8,0.6,6,0.6
(multiple birds),Hawaiian Isl.,feather,SOTE,1983,3,2,21,1,0.6,28.5,2.3,4.7,0.6,82.4,1.1,145.6,0.6,--,0.6,--,0.6,8.7,0.6,26,0.6
(multiple birds),Hawaiian Isl.,feather,SOTE,1997,3,2,22,1,0.5,45.9,2.2,3.5,0.5,102.4,1.1,129.6,0.5,--,0.5,--,0.5,2.3,0.5,5,0.5
SOTE04102013Hi1f,Hawaiian Isl.,feather,SOTE,2013,4,1,70,5,2.9,395.4,11.6,4.7,2.9,107.3,5.8,--,2.9,--,2.9,--,2.9,--,2.9,--,2.9
SOTE12312013Hi2f,Hawaiian Isl.,feather,SOTE,2013,4,1,72,3.3,1.7,376.8,6.8,4.3,1.7,82.9,3.4,--,1.7,2.2,1.7,--,1.7,--,1.7,--,1.7
SOTE07162014Hi1f,Hawaiian Isl.,feather,SOTE,2014,4,1,a,2.1,0.5,191.2,2,8.6,0.5,130.1,1,--,0.5,--,0.5,--,0.5,--,0.5,--,0.5
SOTE05032015Hi2f,Hawaiian Isl.,feather,SOTE,2015,4,1,b,1.7,0.6,171,2.2,6.7,0.6,72.5,1.1,--,0.6,--,0.6,--,0.6,--,0.6,--,0.6
(multiple birds),Hawaiian Isl.,feather,WHTE,1891,2,2,16,--,7.6,--,30.3,--,7.6,40.4,15.2,2391.5,7.6,--,7.6,--,7.6,952.5,7.6,36.9,7.6
(multiple birds),Hawaiian Isl.,feather,WHTE,1983,3,2,17,1.6,0.5,39.2,2.1,2.9,0.5,139.8,1,101.3,0.5,--,0.5,1.1,0.5,5.2,0.5,0.7,0.5
WHTE04152013Hi1f,Hawaiian Isl.,feather,WHTE,2013,4,1,76,5.3,2.3,337.1,9.3,6.3,2.3,84.9,4.7,--,2.3,--,2.3,--,2.3,--,2.3,--,2.3
WHTE09022013Hi2f,Hawaiian Isl.,feather,WHTE,2013,4,1,77,3,2.9,260.9,11.8,5,2.9,84.6,5.9,--,2.9,--,2.9,--,2.9,--,2.9,--,2.9
WHTE06062013Hi3f,Hawaiian Isl.,feather,WHTE,2013,4,1,78,--,2.4,185.2,9.4,4.3,2.4,84,4.7,--,2.4,--,2.4,--,2.4,--,2.4,--,2.4
(multiple birds),Hawaiian Isl.,feather,WTSH,1897,1,2,10,2.9,0.5,85,1.8,13.8,0.5,96,0.9,12578.4,0.5,--,0.5,--,0.5,90.5,0.5,24.1,0.5
(multiple birds),Hawaiian Isl.,feather,WTSH,1915,2,2,11,1.3,0.5,67.4,2.1,4.1,0.5,68.6,1,11264.4,0.5,--,0.5,--,0.5,226.7,0.5,4.9,0.5
(multiple birds),Hawaiian Isl.,feather,WTSH,1942,2,2,12,1.4,0.5,64.2,2.2,6.4,0.5,63.4,1.1,10446,0.5,--,0.5,--,0.5,156,0.5,1.5,0.5
(multiple birds),Hawaiian Isl.,feather,WTSH,1964,3,2,13,3.8,0.5,189.2,2.1,5.6,0.5,96.9,1,10773.5,0.5,--,0.5,--,0.5,12.2,0.5,13,0.5
(multiple birds),Hawaiian Isl.,feather,WTSH,1970,3,2,14,5.5,0.6,100.6,2.3,7.6,0.6,97.5,1.1,7562.6,0.6,--,0.6,--,0.6,16.1,0.6,1.7,0.6
(multiple birds),Hawaiian Isl.,feather,WTSH,1999,3,2,15,5.2,0.6,71.9,2.4,6,0.6,91.4,1.2,137.9,0.6,--,0.6,--,0.6,2.8,0.6,2.9,0.6
WTSH07272014Hi4f,Hawaiian Isl.,feather,WTSH,2014,4,1,19,4.1,1.6,147.1,6.5,3.9,1.6,93.1,3.3,--,1.6,--,1.6,--,1.6,--,1.6,0.6,1.6
WTSH04262014Hi5f,Hawaiian Isl.,feather,WTSH,2014,4,1,21,5,2.2,243.5,8.7,4.6,2.2,118.4,4.4,--,2.2,--,2.2,--,2.2,--,2.2,2.4,2.2
WTSH07112014Hi6f,Hawaiian Isl.,feather,WTSH,2014,4,1,29,6.6,2.3,147.6,9.3,4.4,2.3,67.6,4.6,--,2.3,--,2.3,--,2.3,--,2.3,--,2.3
WTSH11202014Hi7f,Hawaiian Isl.,feather,WTSH,2014,4,1,31,8.1,2,208.6,8,4.1,2,133.3,4,2.8,2,--,2,--,2,--,2,--,2
WTSH12062014Hi8f,Hawaiian Isl.,feather,WTSH,2014,4,1,33,5.4,1.9,215.3,7.4,3.5,1.9,139.8,3.7,--,1.9,--,1.9,--,1.9,--,1.9,--,1.9
(multiple birds),Hawaiian Isl.,feather,WTTR,1892,1,2,33,0.8,0.6,35.7,2.4,6.1,0.6,60.9,1.2,1676.6,0.6,--,0.6,--,0.6,445.8,0.6,26,0.6
(multiple birds),Hawaiian Isl.,feather,WTTR,1926,2,2,34,2.3,0.6,79.8,2.3,2.5,0.6,71.2,1.1,1948.7,0.6,--,0.6,--,0.6,116.4,0.6,17,0.6
(multiple birds),Hawaiian Isl.,feather,WTTR,1995,3,2,35,0.2,0.1,7,0.5,1.1,0.1,25.7,0.2,10.4,0.1,--,0.1,--,0.1,9.2,0.1,0.5,0.1
WTTR06032015Hi1f,Hawaiian Isl.,feather,WTTR,2015,4,1,f,1.8,0.3,127.3,1.3,3.9,0.3,95,0.6,1.6,0.3,--,0.3,--,0.3,1,0.3,--,0.3
