Common name,Latin name,published TL,Sealife TL,reference,ecosystem,Metal,concentration,sd
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Lead,0.03,0.02
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Lead,0.06,0.05
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Lead,0.05,0.02
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Lead,0.12,0.2
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Lead,0.01,
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Lead,0.01,0.01
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Lead,0.02,0.02
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Lead,0.04,0.05
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Lead,0.02,0.03
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Lead,-,-
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Lead,0.07,-
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Lead,0.01,0.01
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Lead,0.01,0.01
Ice Algae,~,1.3,-,Cambell_2005,pelagic bay,Zinc,2.93,0.03
Copepod,Calnus hyperboreus,2,-,Cambell_2005,pelagic bay,Zinc,17.73,0.65
Zooplankton,~,2.2,-,Cambell_2005,pelagic bay,Zinc,14.3,4.41
amphipod,Themisto libellula,2.5,-,Cambell_2005,pelagic bay,Zinc,14.83,3.14
Mysid,Mysis oculata,2.7,-,Cambell_2005,pelagic bay,Zinc,14.47,1.76
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Zinc,57.8,-
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Zinc,16.6,18.2
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Zinc,11.17,1.08
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Zinc,32.27,4.82
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Zinc,16.03,1.46
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Zinc,35.55,8.33
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Zinc,13.35,1.69
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Zinc,35.8,4.17
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Zinc,15.19,1.71
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Zinc,46.94,3.99
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Zinc,16.08,1.92
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Zinc,23.5,
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Zinc,20.56,2.79
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Zinc,63.21,15.03
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Zinc,23.39,2.51
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Zinc,40.36,7.58
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Zinc,36.7,-
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Zinc,44.3,-
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Zinc,20.6,5.01
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Zinc,43.73,6.06
Ice Algae,~,1.3,-,Cambell_2005,pelagic bay,Methylmercury,0.003,-
Copepod,Calnus hyperboreus,2,-,Cambell_2005,pelagic bay,Methylmercury,0.025,0.017
Zooplankton,~,2.2,-,Cambell_2005,pelagic bay,Methylmercury,0.006,0.002
amphipod,Themisto libellula,2.5,-,Cambell_2005,pelagic bay,Methylmercury,0.02,0.009
Mysid,Mysis oculata,2.7,-,Cambell_2005,pelagic bay,Methylmercury,0.011,0.003
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Methylmercury,0.04,-
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Methylmercury,0.015,0.002
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Methylmercury,0.08,0.02
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Methylmercury,0.27,0.08
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Methylmercury,0.3,0.09
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Methylmercury,1.05,0.43
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Methylmercury,0.34,0.1
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Methylmercury,1.17,0.45
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Methylmercury,0.33,0.09
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Methylmercury,1.17,0.23
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Methylmercury,0.21,0.06
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Methylmercury,0.8,0.18
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Methylmercury,0.39,0.14
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Methylmercury,3.41,1.62
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Methylmercury,0.8,0.27
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Methylmercury,2.92,1.06
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Methylmercury,0.48,-
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Methylmercury,1.94,-
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Methylmercury,0.68,0.29
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Methylmercury,22.51,16.87
Ice Algae,~,1.3,-,Cambell_2005,pelagic bay,Arsenic,0.2,0.01
Copepod,Calnus hyperboreus,2,-,Cambell_2005,pelagic bay,Arsenic,1.42,0.42
Zooplankton,~,2.2,-,Cambell_2005,pelagic bay,Arsenic,1.13,0
amphipod,Themisto libellula,2.5,-,Cambell_2005,pelagic bay,Arsenic,6.53,1.69
Mysid,Mysis oculata,2.7,-,Cambell_2005,pelagic bay,Arsenic,2.65,0.16
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Arsenic,9.47,-
Ice Algae,~,1.3,3.1,Cambell_2005,pelagic bay,Cadmium,0.21,0.02
Copepod,Calnus hyperboreus,2,-,Cambell_2005,pelagic bay,Cadmium,1.62,0.79
Zooplankton,~,2.2,-,Cambell_2005,pelagic bay,Cadmium,0.89,0.46
amphipod,Themisto libellula,2.5,-,Cambell_2005,pelagic bay,Cadmium,7.15,2.27
Mysid,Mysis oculata,2.7,-,Cambell_2005,pelagic bay,Cadmium,1.17,0.24
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Cadmium,0.06,-
Ice Algae,~,1.3,3.1,Cambell_2005,pelagic bay,Copper,0.84,0.82
Copepod,Calnus hyperboreus,2,-,Cambell_2005,pelagic bay,Copper,1.55,0.57
Zooplankton,~,2.2,-,Cambell_2005,pelagic bay,Copper,1.6,0.46
amphipod,Themisto libellula,2.5,-,Cambell_2005,pelagic bay,Copper,3.79,1.48
Mysid,Mysis oculata,2.7,-,Cambell_2005,pelagic bay,Copper,3.83,0.55
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Copper,1.96,-
Ice Algae,~,1.3,-,Cambell_2005,pelagic bay,Manganese,0.52,0.003
Copepod,Calnus hyperboreus,2,-,Cambell_2005,pelagic bay,Manganese,0.29,0.07
Zooplankton,~,2.2,-,Cambell_2005,pelagic bay,Manganese,0.43,0.37
amphipod,Themisto libellula,2.5,-,Cambell_2005,pelagic bay,Manganese,0.46,0.14
Mysid,Mysis oculata,2.7,-,Cambell_2005,pelagic bay,Manganese,1.14,0.32
Artic Cod,Boreogadus saida,3.7,3.1,Cambell_2005,pelagic bay,Manganese,1.21,-
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Cadmium,0.41,0.19
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Cadmium,5.78,1.19
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Cadmium,0.46,0.24
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Cadmium,8.62,5.66
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Cadmium,0.42,0.15
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Cadmium,6.82,1.66
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Cadmium,0.54,0.26
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Cadmium,12.84,3.19
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Cadmium,0.19,0.12
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Cadmium,4.945,-
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Cadmium,1.17,1.16
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Cadmium,21.84,13.22
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Cadmium,0.21,0.16
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Cadmium,4.8,3.72
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Cadmium,0.08,-
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Cadmium,1.77,-
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Cadmium,0.07,0.06
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Cadmium,6.16,4.98
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Copper,6.97,0.56
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Copper,8.18,1.7
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Copper,5.75,0.53
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Copper,6.05,0.91
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Copper,6.9,0.55
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Copper,8.07,1.46
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Copper,8.09,3.35
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Copper,8.55,1.74
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Copper,7.43,1.18
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Copper,4.355,-
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Copper,5.33,0.4
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Copper,6.24,0.97
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Copper,5.17,0.38
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Copper,5.67,0.96
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Copper,5.33,-
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Copper,7.31,-
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Copper,1.29,0.31
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Copper,6.15,2.35
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Manganese,0.65,0.07
Dovekie,Alle alle,3.2,-,Cambell_2005,pelagic bay,Manganese,3.32,0.31
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Manganese,0.52,0.08
Black-legged kittawake,Rissa tridactyla,3.8,-,Cambell_2005,pelagic bay,Manganese,3.52,0.67
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Manganese,0.61,0.09
Black Guillemot,Ceppus grylle,3.9,-,Cambell_2005,pelagic bay,Manganese,2.67,0.42
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Manganese,0.49,0.05
Thick-billed murre,Uria lomvia,3.9,-,Cambell_2005,pelagic bay,Manganese,3.28,0.3
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Manganese,0.5,0.12
Ivory Gull,Pagophilia eburnea,4,-,Cambell_2005,pelagic bay,Manganese,2.205,-
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Manganese,0.68,1.32
Northern fulmar,Fulmarus glacialis,4.1,-,Cambell_2005,pelagic bay,Manganese,4.29,0.55
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Manganese,0.54,0.05
Glaucous gull,Larus hyperboreus,4.7,-,Cambell_2005,pelagic bay,Manganese,3.72,0.87
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Manganese,0.49,-
Thayers gull,Larus thayeri,4.9,-,Cambell_2005,pelagic bay,Manganese,4.31,-
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Manganese,0.19,0.09
Ringed Seal,Phoca hispida,4.6,-,Cambell_2005,pelagic bay,Manganese,2.79,0.52
