"","spp","year","tp_med","tp_upper","tp_lower"
"1","LAAL",1891,3.86857524451055,4.08616478818034,3.66014013558998
"2","LAAL",1892,3.8725071545957,4.0718674381388,3.69040103808704
"3","LAAL",1893,3.87681836954703,4.06001433927855,3.71407263779649
"4","LAAL",1894,3.87855656383127,4.04226169798985,3.73310431176278
"5","LAAL",1895,3.88436580064508,4.03864175100234,3.74466574340323
"6","LAAL",1896,3.88869933347651,4.04248631557493,3.74795207431939
"7","LAAL",1897,3.89516115265399,4.0451735284688,3.74896004972132
"8","LAAL",1898,3.89650620616966,4.05485581470077,3.73974689976913
"9","LAAL",1899,3.89901026588954,4.06366591982452,3.73856310473678
"10","LAAL",1900,3.90286604806252,4.07634722838503,3.7318593010283
"11","LAAL",1901,3.90460912155863,4.08747703808941,3.72429939552536
"12","LAAL",1902,3.90491255655224,4.09631327673951,3.71753462612175
"13","LAAL",1903,3.90100567172537,4.11009853775893,3.70931195059389
"14","LAAL",1904,3.89307196554035,4.1204296852437,3.70081531515461
"15","LAAL",1905,3.88287241032971,4.13074052232893,3.69621000992516
"16","LAAL",1906,3.87223374330936,4.14102142638744,3.68584857413678
"17","LAAL",1907,3.86592734579673,4.15437606329165,3.67369416547977
"18","LAAL",1908,3.85903501952883,4.16705038121247,3.66261716290777
"19","LAAL",1909,3.85394419151174,4.17814396068706,3.65306750932658
"20","LAAL",1910,3.84997133231123,4.19179635200506,3.64106696020235
"21","LAAL",1911,3.84826212433878,4.20395501626358,3.62778750420785
"22","LAAL",1912,3.84588122461151,4.21839522274462,3.61638066753715
"23","LAAL",1913,3.84265903563855,4.23049815007325,3.60284116322847
"24","LAAL",1914,3.83952474597375,4.24639005854755,3.59178308454847
"25","LAAL",1915,3.8364809062686,4.25755639613832,3.58445593514643
"26","LAAL",1916,3.83359366318236,4.26790515549493,3.57321060993426
"27","LAAL",1917,3.83057310718333,4.27789884223648,3.56013122789213
"28","LAAL",1918,3.82880211988846,4.28916961417601,3.54751584109255
"29","LAAL",1919,3.82737953454691,4.30115066056286,3.54075558890317
"30","LAAL",1920,3.82674576549662,4.3105912213884,3.53010649751283
"31","LAAL",1921,3.82620074331896,4.31900438167945,3.51879221548528
"32","LAAL",1922,3.82529146876113,4.32592977005728,3.50781626824278
"33","LAAL",1923,3.82465669529864,4.33528600415845,3.50136269725177
"34","LAAL",1924,3.82375468396954,4.34305372469495,3.49359387800678
"35","LAAL",1925,3.82152679632771,4.3506391361823,3.48717375095376
"36","LAAL",1926,3.82064148250793,4.35819895400566,3.48036806872761
"37","LAAL",1927,3.81782749691456,4.36539005154955,3.47178087725295
